dataset,model,metric,metric_display,mean,std,n,cell,source_file
Sleep-EDF,StylePrior-MOMENT + STSA,accuracy,Accuracy,0.8276999764912525,0.048965051185938926,20,0.8277 ± 0.0490,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT + STSA,balanced_accuracy,Balanced Accuracy,0.5027110868982164,0.05992700411148433,20,0.5027 ± 0.0599,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT + STSA,f1_macro,F1 Score (Macro),0.49813681934456505,0.05161831832998864,20,0.4981 ± 0.0516,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT + STSA,precision_macro,Precision (Macro),0.5665601876651822,0.05937775072012,20,0.5666 ± 0.0594,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT + STSA,recall_macro,Recall (Macro),0.5027110868982164,0.05992700411148433,20,0.5027 ± 0.0599,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT + STSA,roc_auc_ovr,ROC AUC,0.9263005553265236,0.028982309398965463,20,0.9263 ± 0.0290,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT + STSA,average_precision_macro,Avg Prec,0.0,0.0,20,0.0000 ± 0.0000,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT (source),accuracy,Accuracy,0.8358930213732872,0.06463610853945614,20,0.8359 ± 0.0646,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT (source),balanced_accuracy,Balanced Accuracy,0.5712642136764351,0.04225338218058748,20,0.5713 ± 0.0423,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT (source),f1_macro,F1 Score (Macro),0.545725661599664,0.05826860935235654,20,0.5457 ± 0.0583,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT (source),precision_macro,Precision (Macro),0.5622223661587082,0.08082838912895521,20,0.5622 ± 0.0808,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT (source),recall_macro,Recall (Macro),0.5712642136764351,0.04225338218058748,20,0.5713 ± 0.0423,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT (source),roc_auc_ovr,ROC AUC,0.9339692396199755,0.040301999212785156,20,0.9340 ± 0.0403,./results/ss_moment_SleepEDF_seed2025.pkl
Sleep-EDF,StylePrior-MOMENT (source),average_precision_macro,Avg Prec,0.0,0.0,20,0.0000 ± 0.0000,./results/ss_moment_SleepEDF_seed2025.pkl
REFED,StylePrior-MOMENT + STSA,accuracy,Accuracy,0.6865998363338789,0.05487368565576118,32,0.6866 ± 0.0549,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT + STSA,balanced_accuracy,Balanced Accuracy,0.5071731868112508,0.016701204022169427,32,0.5072 ± 0.0167,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT + STSA,f1_macro,F1 Score (Macro),0.49673741453201076,0.023648251147398682,32,0.4967 ± 0.0236,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT + STSA,precision_macro,Precision (Macro),0.5098844500368415,0.021515108413460687,32,0.5099 ± 0.0215,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT + STSA,recall_macro,Recall (Macro),0.5071731868112508,0.016701204022169427,32,0.5072 ± 0.0167,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT + STSA,roc_auc,ROC AUC,0.5222260538912055,0.0389488511793642,32,0.5222 ± 0.0389,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT + STSA,average_precision,Avg Prec,0.7733849913038371,0.05741901652099459,32,0.7734 ± 0.0574,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT (source),accuracy,Accuracy,0.7119373977086744,0.06115073582575264,32,0.7119 ± 0.0612,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT (source),balanced_accuracy,Balanced Accuracy,0.5070724105221679,0.013904114167357286,32,0.5071 ± 0.0139,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT (source),f1_macro,F1 Score (Macro),0.48774424338686617,0.0271258710809485,32,0.4877 ± 0.0271,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT (source),precision_macro,Precision (Macro),0.5121898832193257,0.024950564474406467,32,0.5122 ± 0.0250,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT (source),recall_macro,Recall (Macro),0.5070724105221679,0.013904114167357286,32,0.5071 ± 0.0139,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT (source),roc_auc,ROC AUC,0.5270529981406146,0.034340640714397894,32,0.5271 ± 0.0343,./results/ss_moment_REFED_seed2025.pkl
REFED,StylePrior-MOMENT (source),average_precision,Avg Prec,0.7770724667564742,0.05628432537128824,32,0.7771 ± 0.0563,./results/ss_moment_REFED_seed2025.pkl
